Name: “Table 1 of 1 on page 49 of 79”,Name: “Table 1 of 1 on page 49 of 79”,Name: “Table 1 of 1 on page 49 of 79”,Name: “Table 1 of 1 on page 49 of 79”,Name: “Table 1 of 1 on page 49 of 79”,Name: “Table 1 of 1 on page 49 of 79”,Name: “Table 1 of 1 on page 49 of 79”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,Page 48
2.3.6.1.3 Qualified Paraprofessionals,2.3.6.1.3 Qualified Paraprofessionals,2.3.6.1.3 Qualified Paraprofessionals,,,,
"In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE of the qualified paraprofessionals funded by the MEP. Do not include staff"
employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data
collected in this table.,collected in this table.,collected in this table.,,,,
,,,Regular School Year,Regular School Year,Summer/Intersession Term,Summer/Intersession Term
,,,Headcount,FTE,Headcount,FTE
Qualified Paraprofessionals,Qualified Paraprofessionals,Qualified Paraprofessionals,16,4.19,20,14.80
Comments:,Comments:,The number of qualified paraprofessionals have been adjusted from the previous year based on programmatic,The number of qualified paraprofessionals have been adjusted from the previous year based on programmatic,The number of qualified paraprofessionals have been adjusted from the previous year based on programmatic,The number of qualified paraprofessionals have been adjusted from the previous year based on programmatic,The number of qualified paraprofessionals have been adjusted from the previous year based on programmatic
needs.,needs.,,,,,
FAQs on qualified paraprofessionals:,FAQs on qualified paraprofessionals:,FAQs on qualified paraprofessionals:,,,,
