Name: “Table 1 of 1 on page 48 of 79”,Name: “Table 1 of 1 on page 48 of 79”,Name: “Table 1 of 1 on page 48 of 79”,Name: “Table 1 of 1 on page 48 of 79”,Name: “Table 1 of 1 on page 48 of 79”,Name: “Table 1 of 1 on page 48 of 79”,Name: “Table 1 of 1 on page 48 of 79”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,Page 47
2.3.6.1.2 MEP Staff,2.3.6.1.2 MEP Staff,2.3.6.1.2 MEP Staff,,,,
"In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff","In the table below, provide the headcount and FTE by job classification of the staff funded by the MEP. Do not include staff"
employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data,employed in SWP where MEP funds were combined with those of other programs. Below the table are FAQs about the data
collected in this table.,collected in this table.,collected in this table.,,,,
,,,Regular School Year,,Summer/Intersession Term,Summer/Intersession Term
,,Job Classification,Headcount,FTE,Headcount,FTE
Teachers,Teachers,,3,1,28,27
Counselors,Counselors,,0,0,0,0
All paraprofessionals,All paraprofessionals,All paraprofessionals,16,9,20,14
Recruiters,Recruiters,,5,2,5,5
Records transfer staff,Records transfer staff,Records transfer staff,2,0,2,1
Administrators,Administrators,Administrators,,,,
Comments:,Comments:,The number of staff funded by the MEP have been adjusted from the previous year based on programmatic,The number of staff funded by the MEP have been adjusted from the previous year based on programmatic,The number of staff funded by the MEP have been adjusted from the previous year based on programmatic,The number of staff funded by the MEP have been adjusted from the previous year based on programmatic,The number of staff funded by the MEP have been adjusted from the previous year based on programmatic
needs.,needs.,,,,,
Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the,Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the,Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the,Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the,Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the,Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the,Note: The Headcount value displayed represents the greatest whole number submitted in file specification N/X065 for the
