Table 8. Carbon intensity of the economy by state (2000 - 2010),,,,,,,,,,,,,
metric tons energy-related carbon dioxide per million dollars of GDP,,,,,,,,,,,,,
,,,,,,,,,,,,Change,
,,,,,,,,,,,,2000 to 2010,
State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Percent,Absolute
Alabama,"1,058.7",986.0,997.7,980.5,950.1,936.4,935.7,938.5,889.0,785.5,861.3,-18.6%,-197.4
Alaska,"1,298.3","1,216.1","1,175.5","1,199.3","1,223.9","1,270.7","1,148.5","1,084.2",961.1,850.3,859.7,-33.8%,-438.6
Arizona,479.6,475.0,460.5,446.2,465.3,433.7,418.4,416.7,426.9,409.9,419.8,-12.5%,-59.8
Arkansas,817.9,798.1,758.7,741.3,722.0,676.9,680.3,691.9,694.0,671.4,720.0,-12.0%,-97.9
California,259.3,262.0,256.3,251.5,241.3,229.9,227.4,227.4,219.1,216.4,213.5,-17.6%,-45.8
Colorado,434.0,459.9,444.6,438.6,444.7,438.7,432.2,432.1,417.0,403.8,410.3,-5.5%,-23.7
Connecticut,230.8,222.6,217.2,228.6,228.4,223.0,200.5,192.0,186.1,184.2,174.7,-24.3%,-56.1
Delaware,346.8,320.4,324.2,318.3,305.2,309.8,286.3,301.3,295.0,218.3,208.6,-39.9%,-138.2
District of Columbia,61.5,55.3,54.9,50.1,49.5,47.4,38.0,39.6,35.6,36.6,36.1,-41.2%,-25.3
Florida,436.0,423.0,414.2,401.7,401.5,383.6,367.3,361.7,348.2,342.5,365.3,-16.2%,-70.7
Georgia,509.4,479.7,488.7,488.3,491.2,506.4,490.3,488.0,465.5,458.5,479.9,-5.8%,-29.5
Hawaii,385.4,398.6,413.8,417.7,416.8,407.9,398.1,407.5,328.0,321.7,318.7,-17.3%,-66.6
Idaho,395.2,394.7,370.9,344.4,347.5,322.8,318.7,317.4,304.9,309.7,319.6,-19.1%,-75.6
Illinois,432.1,414.0,416.3,412.7,416.0,424.9,401.3,409.4,412.0,403.7,396.3,-8.3%,-35.8
Indiana,"1,073.3","1,047.8","1,032.8","1,018.1",996.2,988.0,970.1,943.9,945.5,897.4,892.5,-16.8%,-180.7
Iowa,738.4,742.4,727.5,693.7,667.1,656.2,661.0,673.4,700.5,675.2,695.1,-5.9%,-43.3
Kansas,776.9,723.3,764.8,763.4,736.0,684.7,662.9,703.8,668.7,666.3,658.1,-15.3%,-118.8
