Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”
Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3,Table: 3
,,,,,,,,,,,,
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
"(Health Care, Detention, and Correction Property Use)","(Health Care, Detention, and Correction Property Use)","(Health Care, Detention, and Correction Property Use)","(Health Care, Detention, and Correction Property Use)","(Health Care, Detention, and Correction Property Use)","(Health Care, Detention, and Correction Property Use)",,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,26,70.3%,"$40,004",8,21.6%,"$251,800",3,8.1%,$2,37,100.0%,"$291,806"
2005,23,60.5%,"$1,156,572",13,34.2%,"$63,800",2,5.3%,"$3,500",38,100.0%,"$1,223,872"
2006,21,46.7%,"$53,527",15,33.3%,"$402,891",9,20.0%,"$3,601,001",45,100.0%,"$4,057,419"
2007,19,57.6%,"$172,751",13,39.4%,"$13,903",1,3.0%,"$55,000",33,100.0%,"$241,654"
2008,18,47.4%,"$112,880",16,42.1%,"$819,147",4,10.5%,"$10,200",38,100.0%,"$942,227"
2009 *,22,61.1%,"$76,721",9,25.0%,"$6,533,200",5,13.9%,"$406,500",36,100.0%,"$7,016,421"
Grand Total,129,56.8%,"$1,612,455",74,32.6%,"$8,084,741",24,10.6%,"$4,076,203",227,100.0%,"$13,773,399"
