Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”,Name: “Table 1 of 1 on page 2 of 5”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,
,,,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,,,
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
(Assembly Property Use),(Assembly Property Use),(Assembly Property Use),,,,,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,20,29.4%,"$426,250",40,58.8%,"$5,160,480",8,11.8%,"$1,130,000",68,100.0%,"$6,716,730"
2005,33,33.0%,"$1,219,500",54,54.0%,"$2,403,703",13,13.0%,"$647,100",100,100.0%,"$4,270,303"
2006,23,28.8%,"$4,355,702",47,58.8%,"$23,045,075",10,12.5%,"$133,000",80,100.0%,"$27,533,777"
2007,27,26.2%,"$389,760",60,58.3%,"$4,072,571",16,15.5%,"$405,620",103,100.0%,"$4,867,951"
2008,38,31.9%,"$2,242,423",67,56.3%,"$5,283,148",14,11.8%,"$336,500",119,100.0%,"$7,862,071"
2009 *,37,34.9%,"$1,180,876",54,50.9%,"$5,291,079",15,14.2%,"$2,156,502",106,100.0%,"$8,628,457"
Grand Total,178,30.9%,"$9,814,511",322,55.9%,"$45,256,056",76,13.2%,"$4,808,722",576,100.0%,"$59,879,289"
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
(Educational Property Use),(Educational Property Use),(Educational Property Use),,,,,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,6,21.4%,"$46,300",21,75.0%,"$155,602",1,3.6%,"$1,000",28,100.0%,"$202,902"
2005,16,33.3%,"$25,500",29,60.4%,"$584,942",3,6.3%,$150,48,100.0%,"$610,592"
2006,11,33.3%,"$856,876",19,57.6%,"$233,781",3,9.1%,$801,33,100.0%,"$1,091,458"
2007,14,28.6%,"$26,352",30,61.2%,"$4,863,985",5,10.2%,"$99,000",49,100.0%,"$4,989,337"
2008,15,36.6%,"$149,297",22,53.7%,"$739,806",4,9.8%,"$35,100",41,100.0%,"$924,203"
2009 *,10,40.0%,"$21,115",13,52.0%,"$1,520,160",2,8.0%,"$30,000",25,100.0%,"$1,571,275"
Grand Total,72,32.1%,"$1,125,440",134,59.8%,"$8,098,276",18,8.0%,"$166,051",224,100.0%,"$9,389,767"
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,,,2,,,,,,2/19/2010
