Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”,Name: “Table 1 of 1 on page 5 of 5”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
(Outside or Special Property Use),(Outside or Special Property Use),(Outside or Special Property Use),(Outside or Special Property Use),,,,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,0,0.0%,$0,40,90.9%,"$901,300",4,9.1%,"$4,000",44,100.0%,"$905,300"
2005,0,0.0%,$0,50,89.3%,"$362,911",6,10.7%,"$86,002",56,100.0%,"$448,913"
2006,2,3.0%,"$31,000",61,91.0%,"$3,427,043",4,6.0%,$0,67,100.0%,"$3,458,043"
