Table 3. 2010 state energy-related carbon dioxide emissions by sector 						
million metric tons of carbon dioxide						
						
State	Commercial	Electric Power	Residential	Industrial	Transportation	Total
Alabama	2.1	76.7	2.8	17.7	33.4	132.7
Alaska	2.5	3.0	1.8	16.6	14.8	38.7
Arizona	2.4	54.4	2.3	4.8	32.1	95.9
Arkansas	2.6	32.3	2.3	8.6	20.3	66.1
California	15.9	43.5	28.9	67.5	214.0	369.8
Colorado	4.2	39.9	7.8	14.9	29.7	96.5
Connecticut	3.4	7.7	7.7	1.9	16.2	36.9
Delaware	0.8	4.2	1.1	1.1	4.5	11.7
District of Columbia	1.2	0.2	0.8	0.0	1.1	3.3
Florida	5.4	119.6	1.6	12.4	107.0	246.0
Georgia	4.0	79.1	8.3	14.5	67.8	173.7
Hawaii	0.3	7.6	0.1	1.7	9.3	18.9
Idaho	1.1	0.7	1.6	3.4	9.4	16.2
Illinois	11.5	94.0	23.7	33.9	67.2	230.4
Indiana	5.4	114.3	8.7	48.5	42.2	219.1
Iowa	4.1	40.6	4.5	18.0	21.6	88.7
Kansas	2.0	35.4	4.5	15.1	18.0	75.0
Kentucky	2.4	94.2	3.7	18.0	32.4	150.7
Louisiana	1.9	42.6	2.6	128.1	48.2	223.5
Maine	1.8	2.6	2.7	2.9	8.6	18.5
Maryland	5.0	24.9	6.6	4.2	29.8	70.5
Massachusetts	6.8	18.2	13.7	3.4	30.8	73.0
Michigan	9.4	70.4	19.0	17.4	49.7	165.9
Minnesota	5.7	29.3	8.3	17.3	32.7	93.4
Mississippi	1.5	26.4	2.0	10.4	25.2	65.5
Missouri	4.1	76.0	7.0	9.3	39.4	135.7
Montana	1.2	19.8	1.6	4.5	7.7	34.9
Nebraska	1.9	23.1	2.7	7.8	12.6	48.0
Nevada	1.8	16.8	2.4	2.7	14.3	38.1
New Hampshire	1.3	5.4	2.3	0.8	7.3	17.0
New Jersey	10.9	17.7	14.7	6.5	65.6	115.4
New Mexico	1.6	29.0	2.3	8.2	13.7	54.8
New York	25.2	38.1	31.7	9.1	68.7	172.8
North Carolina	5.2	72.2	6.5	10.1	48.9	142.9
North Dakota	0.9	29.5	1.0	14.2	6.9	52.5
Ohio	10.5	120.8	17.7	34.8	65.3	249.1
Oklahoma	2.7	47.4	4.1	20.7	28.5	103.4
Oregon	1.9	9.8	2.5	4.4	21.6	40.3
Pennsylvania	10.5	119.6	20.4	39.5	66.5	256.6
Rhode Island	0.9	3.1	2.3	0.5	4.2	11.0
South Carolina	1.8	40.9	2.3	7.6	31.6	84.0
South Dakota	0.8	3.5	1.1	3.3	6.5	15.1
Tennessee	3.9	43.3	4.9	13.7	41.4	107.1
Texas	12.2	220.4	13.7	211.4	194.9	652.6
Utah	2.4	34.8	3.8	7.0	16.2	64.2
Vermont	0.6	0.0	1.3	0.5	3.5	6.0
Virginia	5.0	34.3	7.2	12.6	50.7	109.8
Washington	3.8	13.1	5.1	12.0	42.1	76.1
West Virginia	1.6	74.3	1.9	9.6	11.6	98.9
Wisconsin	5.2	42.6	8.6	12.6	30.2	99.2
Wyoming	1.0	42.8	0.9	11.8	8.4	64.9
Total1	222.3	2,240.0	337.1	957.8	1,874.1	5,631.3
1For the United States as a country see, EIA, Monthly Energy Review, Section 12: Environment.  Differing methodologies between the two data series causes the total for all states to be slightly different from the national-level estimate.  The amount varies no more  than 0.5 percent.  See Appendix A for details on the data series differences.						
Note:  The District of Columbia is included in the data tables, but not in the analysis as it is not a state.						
Source:  U.S. Energy Information Administration (EIA), State Energy Data System and EIA calculations made for this analysis.						
