Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”,Name: “Table 1 of 1 on page 5 of 16”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,
,,,Table 4.5-5,,
,,SOCIAL CONSEQUENCES OF CBA 2,SOCIAL CONSEQUENCES OF CBA 2,,
Community or,Total Number of,Visual,Noise,,
,,,,Mobility,
Neighborhood,Displacements*,Impacts,Impacts,,
,"14 residences, 14",,,,
,"businesses, Sacred Heart",,,,
New Bohemia,"Church, and American","Impact,",,,
(Prince,Legion,not,0,No impact,
George),"(2 residences, 4",adverse,,,
,"businesses, and American",,,,
,Legion),,,,
,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
Disputanta,,"Impact,",,,
,,,,travel within community due to decreased traffic on Route,travel within community due to decreased traffic on Route
(Prince,4 residences,not,3,,
,,,,460.,
George),,adverse,,,
,,,,Provides 11 minutes of travel time savings to Suffolk.,Provides 11 minutes of travel time savings to Suffolk.
,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,"Impact,",,,
Waverly,,,,travel within community due to decreased traffic on Route,travel within community due to decreased traffic on Route
,No impact,not,8,,
(Sussex),,,,460.,
,,adverse,,,
,,,,Provides 10 minutes of travel time savings to Suffolk.,Provides 10 minutes of travel time savings to Suffolk.
,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,,,travel within community due to decreased traffic on Route,travel within community due to decreased traffic on Route
Wakefield,,No,,,
,No impact,,0,460.,
(Sussex),,impact,,,
,,,,Increased traffic through Mars Hill neighborhood on Rt. 31.,Increased traffic through Mars Hill neighborhood on Rt. 31.
,,,,Provides eight minutes of travel time savings to Suffolk.,Provides eight minutes of travel time savings to Suffolk.
,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,"Impact,",,travel within community due to decreased traffic on Route,travel within community due to decreased traffic on Route
Ivor,,,,,
,No impact,not,0,460.,
(Southampton),,,,,
,,adverse,,Provides three minutes of travel time savings to Petersburg,Provides three minutes of travel time savings to Petersburg
,,,,and six minutes to Suffolk.,
Rts. 460 and,"42 residences, 3",,,,
635 – east of,businesses,,,,
,,--,5,Increased traffic on Route 460.,
Ivor,"(12 residences, 2",,,,
(Southampton),businesses),,,,
,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,"Impact,",,travel within community due to decreased traffic on Route,travel within community due to decreased traffic on Route
Zuni,4 residences,,,,
,,not,0,460.,
(Isle of Wight),(3 residences),,,,
,,adverse,,Provides four minutes of travel time savings to Petersburg,Provides four minutes of travel time savings to Petersburg
,,,,and five minutes to Suffolk.,
,,,"34 total,",,
,,"Impact,",22 in,,
Windsor,,,,Provides four minutes of travel time savings to Petersburg,Provides four minutes of travel time savings to Petersburg
,8 residences,not,Twin,,
(Isle of Wight),,,,and five minutes to Suffolk.,
,,adverse,Ponds,,
,,,MHP,,
Kings Fork,3 residences,,,,
,,--,8,Provides nine minutes of travel time savings to Petersburg.,Provides nine minutes of travel time savings to Petersburg.
(Suffolk),(2 residences),,,,
"Source: Parsons Brinkerhoff and Michael Baker Jr., 2005.","Source: Parsons Brinkerhoff and Michael Baker Jr., 2005.","Source: Parsons Brinkerhoff and Michael Baker Jr., 2005.",,,
-- Visual impacts not determined at the neighborhood level.,-- Visual impacts not determined at the neighborhood level.,-- Visual impacts not determined at the neighborhood level.,,,
"*When different, displacements impacts are provided for both Planning Corridor and Design Corridor, with Design Corridor totals in","*When different, displacements impacts are provided for both Planning Corridor and Design Corridor, with Design Corridor totals in","*When different, displacements impacts are provided for both Planning Corridor and Design Corridor, with Design Corridor totals in","*When different, displacements impacts are provided for both Planning Corridor and Design Corridor, with Design Corridor totals in","*When different, displacements impacts are provided for both Planning Corridor and Design Corridor, with Design Corridor totals in","*When different, displacements impacts are provided for both Planning Corridor and Design Corridor, with Design Corridor totals in"
parenthesis.,,,,,
**Travel time savings are compared to 2026 No Build,**Travel time savings are compared to 2026 No Build,**Travel time savings are compared to 2026 No Build,,,
Route 460 Location Study,Route 460 Location Study,,4-18,Draft Environmental Impact Statement,Draft Environmental Impact Statement
,,,,May,2005
