Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”,Name: “Table 1 of 1 on page 14 of 16”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,
,,,,,Table 4.6-2,,
,NUMBER OF HAZARDOUS MATERIALS OCCURRENCES IDENTIFIED BY CBA,NUMBER OF HAZARDOUS MATERIALS OCCURRENCES IDENTIFIED BY CBA,NUMBER OF HAZARDOUS MATERIALS OCCURRENCES IDENTIFIED BY CBA,NUMBER OF HAZARDOUS MATERIALS OCCURRENCES IDENTIFIED BY CBA,NUMBER OF HAZARDOUS MATERIALS OCCURRENCES IDENTIFIED BY CBA,NUMBER OF HAZARDOUS MATERIALS OCCURRENCES IDENTIFIED BY CBA,
,,Alternative,Alternative,Alternative,,Number of Occurrences,
,,Candidate Build Alternative,Candidate Build Alternative,Candidate Build Alternative,LUST Sites,All Sites1,
,,,1,,10,34,
,,,2,,10,104,
,,,3,,3,29,
,"Source: Environmental Data Resources, Inc., June 2004.","Source: Environmental Data Resources, Inc., June 2004.","Source: Environmental Data Resources, Inc., June 2004.","Source: Environmental Data Resources, Inc., June 2004.","Source: Environmental Data Resources, Inc., June 2004.",,
,Notes:,Notes:,,,,,
,1.,The total number of sites identified include USTs and LUSTs and may also include sites identified in the,The total number of sites identified include USTs and LUSTs and may also include sites identified in the,The total number of sites identified include USTs and LUSTs and may also include sites identified in the,The total number of sites identified include USTs and LUSTs and may also include sites identified in the,The total number of sites identified include USTs and LUSTs and may also include sites identified in the,
,"following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,","following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,","following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,","following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,","following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,","following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,","following databases: CERCLIS, NPL, CERCLIS-NFRAP, RCRIS-SQG, RCRIS-LQG, ERNS, SWF/LF, AST,"
,"VRP, FINDS.","VRP, FINDS.",,,,,
4.6.3,Hazardous Material Sites Identified for Further Evaluation,Hazardous Material Sites Identified for Further Evaluation,Hazardous Material Sites Identified for Further Evaluation,Hazardous Material Sites Identified for Further Evaluation,Hazardous Material Sites Identified for Further Evaluation,Hazardous Material Sites Identified for Further Evaluation,
