Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”,Name: “Table 1 of 1 on page 2 of 16”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,,,,,,,,,
would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,would result in a higher percentage of displacements in Isle of Wight and Prince George Counties.,See
the Socioeconomic Technical Report for more information.,the Socioeconomic Technical Report for more information.,the Socioeconomic Technical Report for more information.,the Socioeconomic Technical Report for more information.,the Socioeconomic Technical Report for more information.,the Socioeconomic Technical Report for more information.,,,,,,,
,,,,Table 4.5-1,Table 4.5-1,,,,,,,
,,,DISPLACEMENTS BY CBA,DISPLACEMENTS BY CBA,DISPLACEMENTS BY CBA,DISPLACEMENTS BY CBA,,,,,,
,,,,,,,,,,Number of Non-,Number of Non-,Number of Non-
,Number of,Number of,Number of,Number of,,,,,,,,
,,,,,,Number of Farms,Number of Farms,Number of Farms,Number of Farms,Profit,Profit,
,Households,Households,Businesses,Businesses,,,,,,,,
,,,,,,,Displaced,Displaced,,Organizations,Organizations,Organizations
Alternative,Displaced,Displaced,Displaced,Displaced,,,,,,,,
,,,,,,,,,,Displaced,Displaced,Displaced
,Planning,Design,Planning,Design,Design,Planning,Planning,Design,Design,Planning,Design,Design
,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor,Corridor
CBA 1,89,53,5,,1,,6,,0,1,,1
CBA 2,187,58,32,,16,,7,,5,7,,4
CBA 3,51,32,0,,0,,9,,6,1,,1
Source:,"Michael Baker, Jr. February 2005","Michael Baker, Jr. February 2005",,,,,,,,,,
,,,,Table 4.5-2,Table 4.5-2,,,,,,,
,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,HOUSEHOLD OCCUPANCY STATUS OF RESIDENTIAL DISPLACEMENTS,,,
,,,,,Household Displacements,Household Displacements,Household Displacements,Household Displacements,Household Displacements,,,
,Build Alternative,Build Alternative,,,,Owner Occupied,Owner Occupied,Owner Occupied,Renter Occupied,Renter Occupied,,
,,,,Total,#,,,,,,,
,,,,,,#,,%,#,%,,
,,Planning Corridor,Planning Corridor,89,,75,84%,84%,14,16%,,
,CBA 1,,,,,,,,,,,
,,Design Corridor,Design Corridor,53,,45,85%,85%,8,15%,,
,,Planning Corridor,Planning Corridor,187,,147,79%,79%,40,21%,,
,CBA 2,,,,,,,,,,,
,,Design Corridor,Design Corridor,58,,47,81%,81%,11,19%,,
