Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”,Name: “Table 1 of 1 on page 1 of 16”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Alternative,Alternative,Alternative,,,,,,
Site,,,,,,,,,,,,,,,,,,,,,,,,
,,,Visual Resource,Visual Resource,Visual Resource,Visual Resource,,,,,,,,Candidate Build Alternatives,Candidate Build Alternatives,Candidate Build Alternatives,Candidate Build Alternatives,Candidate Build Alternatives,Candidate Build Alternatives,Candidate Build Alternatives,,,,
No.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,One,One,,,,Two,Two,,,,Three,Three,,
24,,,,New Bohemia,New Bohemia,New Bohemia,,,"Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse",,,"Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse",
25,,Farmland near New Bohemia,Farmland near New Bohemia,Farmland near New Bohemia,Farmland near New Bohemia,Farmland near New Bohemia,Farmland near New Bohemia,,,Adverse Impact,Adverse Impact,Adverse Impact,,,Adverse Impact,Adverse Impact,Adverse Impact,Adverse Impact,,,Adverse Impact,Adverse Impact,Adverse Impact,
26,,,Scared Heart Church,Scared Heart Church,Scared Heart Church,Scared Heart Church,,,"Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse",,,"Impact, Not Adverse","Impact, Not Adverse","Impact, Not Adverse",
4.4.3.1,,,Mitigation,Mitigation,Mitigation,,,,,,,,,,,,,,,,,,,
