Name: “Table 1 of 1 on page 4 of 16”,Name: “Table 1 of 1 on page 4 of 16”,Name: “Table 1 of 1 on page 4 of 16”,Name: “Table 1 of 1 on page 4 of 16”,Name: “Table 1 of 1 on page 4 of 16”,Name: “Table 1 of 1 on page 4 of 16”,Name: “Table 1 of 1 on page 4 of 16”
Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4,Table: 4
,,,,,,
,,,,Table 4.5-4,,
,,SOCIAL CONSEQUENCES OF CBA 1,SOCIAL CONSEQUENCES OF CBA 1,SOCIAL CONSEQUENCES OF CBA 1,,
Community or,Total Number of,Total Number of,Visual,Noise,,
,,,,,Mobility**,
Neighborhood,Displacements*,Displacements*,Impacts,Impacts,,
,12 residences and,12 residences and,,,,
,,,"Impact,",,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
New Bohemia,5,businesses,,,,
,,,not,5,travel on Route 460.,
(Prince George),(7,residences,,,,
,,,adverse,,Direct access to additional hurricane evacuation route.,Direct access to additional hurricane evacuation route.
,and 1 business),and 1 business),,,,
Farmington Estates,4 residences,4 residences,,,,
,,,--,6,No impact,
(Prince George),(1 residence),(1 residence),,,,
Continental Forest,3 residences,3 residences,,,,
,,,--,7,No impact,
(Prince George),(2 residences),(2 residences),,,,
,,,,,Improved mobility for emergency vehicles due to direct,Improved mobility for emergency vehicles due to direct
Charleston Estates,,,,,,
,No impact,No impact,--,11,interchange access.,
(Prince George),,,,,,
,,,,,Direct access to additional hurricane evacuation route.,Direct access to additional hurricane evacuation route.
,,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
Disputanta,,,No,,travel on Route 460.,
,No impact,No impact,,0,,
(Prince George),,,impact,,Direct access to additional hurricane evacuation route.,Direct access to additional hurricane evacuation route.
,,,,,Provides 18 minutes of travel time savings to Suffolk.,
,,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,,,,travel on Route 460.,
,11 residences and,11 residences and,"Impact,",,,
Waverly,,,,,Non-motorized travel would be affected by increased traffic,Non-motorized travel would be affected by increased traffic
,Shilo Holiness,Shilo Holiness,not,4,,
(Sussex),,,,,levels on Route 40 at the interchange ramp areas.,
,Church,Church,adverse,,,
,,,,,Direct access to additional hurricane evacuation route.,Direct access to additional hurricane evacuation route.
,,,,,Provides 12 minutes of travel time savings to Suffolk.,
,,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,,,,travel on Route 460.,
Wakefield,,,No,,,
,No impact,No impact,,0,Direct access to additional hurricane evacuation route.,Direct access to additional hurricane evacuation route.
(Sussex),,,impact,,,
,,,,,Provides six minutes of travel time savings to Petersburg and,Provides six minutes of travel time savings to Petersburg and
,,,,,eight minutes to Suffolk.,
,,,,,Improved mobility for emergency vehicles and non-motorized,Improved mobility for emergency vehicles and non-motorized
,,,,,travel on Route 460.,
Ivor,,,No,,,
,No impact,No impact,,0,Direct access to additional hurricane evacuation route.,Direct access to additional hurricane evacuation route.
(Southampton),,,impact,,,
,,,,,Provides nine minutes of travel time savings to Petersburg,Provides nine minutes of travel time savings to Petersburg
,,,,,and seven minutes to Suffolk.,
Tucker Swamp,,,,,,
,3 residences,3 residences,,,,
Road (Rt. 635),,,--,6,No impact,
,(1 residence),(1 residence),,,,
(Southampton),,,,,,
Zuni,,,No,,Provides 11 minutes of travel time savings to Petersburg and,Provides 11 minutes of travel time savings to Petersburg and
,No impact,No impact,,0,,
