REGION,ZIPCODE,DATE OF EVENT,TRADE NAME,LICENSE No,ADDRESS,CITY,STATE
4 - Alexandria,20190-4700, 07/06/2009,CVS Pharmacy 1961,73403,11670 Plaza America Dr,Reston,VA
4 - Alexandria,20190-4700, 07/06/2009,Fresh Fields Whole Foods Market,73176,11660 Plaza America Dr,Reston,VA
4 - Alexandria,20170-2205, 07/06/2009,Exxon # 25469,43455,11519 Leesburg Pike,Herndon,VA
4 - Alexandria,20170-2205, 07/06/2009,7 Eleven Store 2581 25633 A,50934,11501 Leesburg Pike,Herndon,VA
4 - Alexandria,20190-4987, 07/06/2009,Fresh World,52539,12040 N Shore Dr,Reston,VA
4 - Alexandria,20190-5209, 07/06/2009,Exxon # 24239,43453,1818 Wiehle Ave,Reston,VA
4 - Alexandria,20190-5840, 07/06/2009,Chipotle Mexican Grill,51826,12152 Sunset Hills Rd,Reston,VA
4 - Alexandria,20190-3208, 07/06/2009,Target Store T 1088,45165,12197 Sunset Hills Rd,Reston,VA
4 - Alexandria,20190-5606, 07/06/2009,Marvelous Market,57786,1820 Discovery St,Reston,VA
4 - Alexandria,20190-5662, 07/06/2009,Jacksons Mighty Fine Food & Lucky Lounge,53985,11927 Democracy Dr,Reston,VA
4 - Alexandria,22042-7712, 07/06/2009,7 Market,42953,7812 Lee Hwy,Falls Church,VA
4 - Alexandria,22042-2869, 07/06/2009,E-Z Stop and Go Food Mart,2579,7600 Lee Hwy,Falls Church,VA
4 - Alexandria,22042-1638, 07/06/2009,Magruders,22597,2800 Graham Rd,Falls Church,VA
4 - Alexandria,22042-1700, 07/06/2009,7 Eleven Store 2581 10706 A,44709,7461 Lee Hwy,Falls Church,VA
4 - Alexandria,22042-1721, 07/06/2009,Safeway 1304,43688,7397 Lee Hwy,Falls Church,VA
4 - Alexandria,22042-1724, 07/06/2009,Rite Aid Pharmacy 1027,27003,7395 Lee Hwy Ste K,Falls Church,VA
4 - Alexandria,22204-2906, 07/23/2009,Casa Blanca Bakery,50276,5037 Columbia Pike,Arlington,VA
4 - Alexandria,22204-2009, 07/23/2009,7 Eleven Store 2554 29167 B,55399,2311 2nd St S,Arlington,VA
4 - Alexandria,22209, 07/23/2009,CVS Pharmacy  #2705,10270,1555 Wilson Blvd Ste 100,Arlington,VA
4 - Alexandria,22203-1823, 07/23/2009,Union Jacks,53253,4238 Wilson Blvd,Arlington,VA
4 - Alexandria,22203, 07/23/2009,Baileys Smokehouse & Tavern,38731,4233 Wilson Blvd,Arlington,VA
4 - Alexandria,22203, 07/23/2009,CVS Pharmacy 01833,45863,4238 Wilson Blvd Ste 1831,Arlington,VA
4 - Alexandria,22191-1211, 07/25/2009,Bottom Dollar Food # 2908,9893,13414 Jefferson Davis Hwy,Woodbridge,VA
4 - Alexandria,22192-4205, 07/28/2009,ABI Azteca Grill and Bar,44695,13760 Smoketown Rd,Woodbridge,VA
4 - Alexandria,22192-6806, 07/28/2009,Palm Tree Chinese Cuisine,6130,14313 Potomac Mills Rd,Woodbridge,VA
4 - Alexandria,22192-6806, 07/28/2009,Hard Times Cafe and Santa Fe Cue,11581,14389 Potomac Mills Rd,Woodbridge,VA
4 - Alexandria,22193-4731, 07/28/2009,Snack Mart II,46912,4802 Dale Blvd,Woodbridge,VA
4 - Alexandria,20112-3728, 07/28/2009,Propps Grocery & Deli,27060,13711 Dumfries Rd,Manassas,VA
4 - Alexandria,20112-3245, 07/28/2009,Oakhill General Store,71688,12203 Kahns Rd,Manassas,VA
4 - Alexandria,20110-1700, 07/28/2009,Noodles & Company,54370,9646 Liberia Ave,Manassas,VA
4 - Alexandria,20110-5205, 07/28/2009,Mi Casita Restaurant,43194,8828 Centreville Rd,Manassas,VA
4 - Alexandria,20110-4113, 07/28/2009,Ashton Ave Diner,14020,9920 Cockrell Rd,Manassas,VA
4 - Alexandria,20110-4588, 07/28/2009,Red Panda Buffet,32957,8637 Sudley Rd,Manassas,VA
