RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,,,,,,,,,
283,MAYHUGHS 4,42687,14630 LEE HIGHWAY,AMISSVILLE,VA,20106,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,10/5/2012,N,11/8/2012,,,11/27/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
304,FOUR POINTS BY SHERATION,57695,10800 VANDOR LANE,MANASSAS,VA,20109,FAILED TO SUBMIT ANNUAL REVIEW REPORT TO THE BOARD,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2012,N,11/5/2012,,,12/7/2012,25, $ 500.00 ,,,,,,,,,,,,,,,
87,TOMMYS PLACE,75050,8910 MATHIS AVE,MANASSAS,VA,20110,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,5/11/2012,N,5/23/2012,6/19/2012,7/12/2012,8/14/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
591,EL RINCON SALVADORENO RESTAURANT,65603,9015 CENTREVILLE RD STE B,MANASSAS,VA,20110,LICENSEE CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,Y,ALEXANDRIA,INITIAL HEARING,6/1/2012,Y,12/12/2012,2/21/2013,3/28/2013,5/2/2013,,,,,Y,,,,,,,,,,,,
24,LAS TRES CHICAS,66791,8059 CENTREVILLE RD,MANASSAS,VA,20111,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,12/31/2011,N,3/28/2012,4/17/2012,6/8/2012,7/11/2012,7, $ 500.00 ,,,,,,,,,,,,,,,
486,5 TWELVE C STORE,63696,"7223 CENTREVILLE ROAD, SUITE 101",MANASSAS,VA,20111,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/18/2012,N,12/17/2012,,,2/22/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
20,HWANG BOO JA,47359,"13830 LEE HWY, BAY 11",CENTREVILLE,VA,20120,UAB,1,N,ALEXANDRIA,INITIAL HEARING,3/17/2012,N,4/4/2012,5/16/2012,6/8/2012,7/11/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
49,MYUNG GA DELI,68197,14165 SAINT GERMAIN DR,CENTREVILLE,VA,20121,FAIL TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE; FAILED TO COMPLY WITH A CONDITION OF THE LICENSE,2,Y,ALEXANDRIA,INITIAL HEARING,2/22/2012,N,4/4/2012,5/17/2012,6/12/2012,7/23/2012,7," $ 1,000.00 ",,,,,,,,,,,,,,,
490,GOM TANG E,50678,"13840 BRADDOCK RD, STE E",CENTREVILLE,VA,20121,"FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING JUNE 30, 2012.",1,Y,ALEXANDRIA,INITIAL HEARING,6/30/2012,Y,9/27/2012,1/7/2013,1/24/2013,2/26/2013,10," $ 1,000.00 ",,,,,,,,,,,,,,,
531,ALTO PLAZA,49894,5800 OLD CENTREVILLE ROAD,CENTREVILLE,VA,20121,"LICENSEE PURCHASED ALCOHOLIC BEVERAGES FROM THE BOARD EXCEPT FOR CASH, ISSUED A CHECK WHICH WAS DISHONORED",1,Y,ALEXANDRIA,CONSENT SETTLEMENT,11/14/2012,N,2/5/2013,,,3/25/2013,, $ 250.00 ,,,,,,,,,,,,,,,
567,CASTILLO CAFÉ,52013,6349 MULITPLEX DR,CENTREVILLE,VA,20121,FAIL TO SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,4/30/2012,Y,8/21/2012,1/22/2013,3/7/2013,4/15/2013,,,,,,,NO ADMINISTRATIVE PENALTY,,,,,,,,,,
628,HAMJI BAHK,53665,"13860 BRADDOCK ROAD, SUITE B",CENTREVILLE,VA,20121,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/23/2013,N,4/23/2013,,,5/21/2013,," $ 2,000.00 ",,,,,,,,,,,,,,, 
631,THE CLUBHOUSE LOUNGE,47129,5801 CLIFTON ROAD,CLIFTON,VA,20124,"UAB, LICENSEE FAILED TO HAVE A DESIGNATED MANAGER PRESENT AND IN CHARGE OF LICENSED BUSINESS",2,N,ALEXANDRIA,CONSENT SETTLEMENT,4/7/2013,N,5/1/2013,,,5/21/2013,25,,,,,,,,,,,,,,,,
582,ANTHONYS,56236,620 W MAIN ST,PURCELLVILLE,VA,20132,FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,1/2/2013,N,1/9/2013,2/20/2013,3/14/2013,4/23/2013,,,,,,,NO PENALTY IMPOSED,,,,,,,,,,
72,ASIAN FUSION,56439,44260 ICE RINK PLZ STE 106,ASHBURN,VA,20147,FAILED TO SUBMIT ANNUAL REVIEW REPORT TO THE BOARD,1,N,ALEXANDRIA,INITIAL HEARING,11/30/2011,N,3/20/2012,4/16/2012,6/28/2012,8/2/2012,7, $ 500.00 ,,,,,,,,,,,,,,,
190,IN & OUT MARKET III,51797,"21735 SHELLHORN RD, UNIT 100",ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/18/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
196,7 ELEVEN STORE 33482-B,78715,43974 PIPELINE PLAZA,ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/18/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
428,HARRIS TEETER 310,69607,"42780 CREEK VIEW PLAZA, SUITE 150",ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/21/2012,N,12/17/2012,,,1/14/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
466,UPPYS 77,65668,21880 RYAN CENTER WAY,ASHBURN,VA,20147,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/21/2012,N,12/17/2012,,,2/8/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
639,IN & OUT MARKET III,51797,"21735 SHELLHORN RD., UNIT 100",ASHBURN,VA,20147,UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,11/21/2012,Y,12/17/2012,2/21/2013,4/4/2013,5/24/2013,," $ 5,000.00 ",2,,,,,,,,,,,,,,
126,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBLETON,VA,20148,CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,1/12/2012,Y,4/12/2012,6/18/2012,8/1/2012,9/6/2012,,,,,Y,,,,,,,,,,,,
