DP02: SELECTED SOCIAL CHARACTERISTICS IN THE UNITED STATES,,,,,,,,,,,,
2008-2012 American Community Survey 5-Year Estimates,,,,,,,,,,,,
,"Supporting documentation on code lists, subject definitions, data accuracy, and statistical testing can be found on the American Community Survey website in the Data and Documentation section.

Sample size and data quality measures (including coverage rates, allocation rates, and response rates) can be found on the American Community Survey website in the Methodology section.

",,,,,,,,,,,
,,,,,,,,,,,,
,"Although the American Community Survey (ACS) produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns and estimates of housing units for states and counties.

",,,,,,,,,,,
,,,,,,,,,,,,
Subject,,,United States,,,,,,Virginia,,,
,,,Estimate,,,Margin of Error,Percent,Percent Margin of Error,Estimate,Margin of Error,Percent,Percent Margin of Error
HOUSEHOLDS BY TYPE,,,,,,,,,,,,
    Total households,,,"115,226,802",,,"+/-238,575","115,226,802",(X),"3,006,219","+/-8,230","3,006,219",(X)
  Family households (families),,,"76,595,548",,,"+/-218,967",66.5%,+/-0.1,"2,025,903","+/-7,717",67.4%,+/-0.2
      With own children under 18 years,,,"34,484,648",,,"+/-184,418",29.9%,+/-0.1,"906,443","+/-6,479",30.2%,+/-0.2
    Married-couple family,,,"56,428,122",,,"+/-278,062",49.0%,+/-0.1,"1,536,475","+/-9,450",51.1%,+/-0.2
      With own children under 18 years,,,"23,426,943",,,"+/-213,888",20.3%,+/-0.1,"643,555","+/-7,528",21.4%,+/-0.2
"    Male householder, no wife present, family",,,"5,346,139",,,"+/-33,892",4.6%,+/-0.1,"124,183","+/-2,396",4.1%,+/-0.1
      With own children under 18 years,,,"2,595,537",,,"+/-17,251",2.3%,+/-0.1,"59,203","+/-1,737",2.0%,+/-0.1
"    Female householder, no husband present, family",,,"14,821,287",,,"+/-39,699",12.9%,+/-0.1,"365,245","+/-4,024",12.1%,+/-0.1
      With own children under 18 years,,,"8,462,168",,,"+/-25,154",7.3%,+/-0.1,"203,685","+/-3,294",6.8%,+/-0.1
  Nonfamily households,,,"38,631,254",,,"+/-40,816",33.5%,+/-0.1,"980,316","+/-5,399",32.6%,+/-0.2
    Householder living alone,,,"31,631,926",,,"+/-69,391",27.5%,+/-0.1,"795,232","+/-5,760",26.5%,+/-0.2
      65 years and over,,,"11,087,417",,,"+/-112,237",9.6%,+/-0.1,"261,661","+/-4,206",8.7%,+/-0.1
,,,,,,,,,,,,
  Households with one or more people under 18 years,,,"38,324,455",,,"+/-180,621",33.3%,+/-0.1,"1,004,290","+/-6,415",33.4%,+/-0.2
  Households with one or more people 65 years and over,,,"28,676,599",,,"+/-99,018",24.9%,+/-0.1,"704,363","+/-3,598",23.4%,+/-0.1
,,,,,,,,,,,,
  Average household size,,,2.61,,,+/-0.01,(X),(X),2.59,+/-0.01,(X),(X)
  Average family size,,,3.21,,,+/-0.01,(X),(X),3.13,+/-0.01,(X),(X)
,,,,,,,,,,,,
RELATIONSHIP,,,,,,,,,,,,
    Population in households,,,"301,123,130",,,*****,"301,123,130",(X),"7,773,620",*****,"7,773,620",(X)
  Householder,,,"115,226,802",,,"+/-238,575",38.3%,+/-0.1,"3,006,219","+/-8,230",38.7%,+/-0.1
  Spouse,,,"56,394,920",,,"+/-274,191",18.7%,+/-0.1,"1,535,775","+/-10,074",19.8%,+/-0.1
  Child,,,"91,891,950",,,"+/-77,288",30.5%,+/-0.1,"2,290,014","+/-6,547",29.5%,+/-0.1
  Other relatives,,,"20,735,185",,,"+/-241,346",6.9%,+/-0.1,"497,786","+/-9,686",6.4%,+/-0.1
  Nonrelatives,,,"16,874,273",,,"+/-207,976",5.6%,+/-0.1,"443,826","+/-8,354",5.7%,+/-0.1
    Unmarried partner,,,"6,680,331",,,"+/-20,946",2.2%,+/-0.1,"149,110","+/-2,439",1.9%,+/-0.1
,,,,,,,,,,,,
MARITAL STATUS,,,,,,,,,,,,
    Males 15 years and over,,,"120,789,875",,,"+/-6,933","120,789,875",(X),"3,152,284","+/-1,078","3,152,284",(X)
  Never married,,,"42,377,084",,,"+/-158,587",35.1%,+/-0.1,"1,073,162","+/-6,818",34.0%,+/-0.2
"  Now married, except separated",,,"61,730,928",,,"+/-244,173",51.1%,+/-0.2,"1,669,687","+/-9,518",53.0%,+/-0.3
  Separated,,,"2,202,348",,,"+/-18,732",1.8%,+/-0.1,"71,143","+/-2,308",2.3%,+/-0.1
  Widowed,,,"3,052,335",,,"+/-12,753",2.5%,+/-0.1,"73,136","+/-1,726",2.3%,+/-0.1
  Divorced,,,"11,427,180",,,"+/-76,454",9.5%,+/-0.1,"265,156","+/-3,844",8.4%,+/-0.1
,,,,,,,,,,,,
