Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”,Name: “Table 1 of 1 on page 107 of 124”
Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107,Table: 107
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2010,Report Period: 2010,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
,MEADOWVIEW VOL. FIRE,MEADOWVIEW VOL. FIRE,MEADOWVIEW VOL. FIRE,,,,,,,,,,
19105,,,,,,,,,,,,,
,DEPT.,,,,,,,,,,,,
Count,10,5,6,7,7,27,20,23,12,24,12,33,186
Exposures,0,0,0,0,0,0,0,0,0,1,0,0,1
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,1,1,0,1,1,1,0,0,0,0,1,6
,GREEN SPRING VOL. FIRE,GREEN SPRING VOL. FIRE,GREEN SPRING VOL. FIRE,,,,,,,,,,
19107,,,,,,,,,,,,,
,DEPT.,,,,,,,,,,,,
Count,14,16,11,16,11,38,17,14,7,35,12,19,210
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,0,1,0,0,1,0,2,0,1,0,6
,WASHINGTON CO. VOL. FIRE,WASHINGTON CO. VOL. FIRE,WASHINGTON CO. VOL. FIRE,,,,,,,,,,
19110,,,,,,,,,,,,,
,DEPT.,,,,,,,,,,,,
Count,13,9,12,26,14,29,16,16,12,14,17,13,191
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,1,0,1,0,0,0,0,0,1,2,0,3,8
19111,GOODSON KINDERHOOK,GOODSON KINDERHOOK,GOODSON KINDERHOOK,,,,,,,,,,
Count,0,0,0,6,69,61,48,45,10,1,0,0,240
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,0,0,1,0,0,0,0,0,1
Page 107 of 124,Page 107 of 124,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Fri Mar 11 10:12:52 EST 2011,Fri Mar 11 10:12:52 EST 2011
