Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”,Name: “Table 1 of 1 on page 1 of 124”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,
Monthly Incident Counts,,,,Created by: Dwight Crews (VA)
Report Parameters:,,,,
Report Period: 2010,,,,
Activity: Show only FDIDs with activity,Activity: Show only FDIDs with activity,,,
State: VA,Version: All,Status: All,Released: All,Sort by: Fire Dept ID
Report Filters:,,,,
,"NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)","NOTE: Report Filter Groups are applied to the report SQL as ""AND"" conditions (i.e. Group 1 AND Group2 and Group 3 etc...)"
Report FDIDs*: All,,,,
,,,*Data from deactivated fire depts within the list was not included in the report.,*Data from deactivated fire depts within the list was not included in the report.
Page 1 of 124,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,Fri Mar 11 09:41:52 EST 2011
