Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”,Name: “Table 1 of 1 on page 87 of 124”
Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87,Table: 87
,,,,,,,,,,,,,
Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,Monthly Incident Counts,,,,,,,,,,
Report Period: 2010,Report Period: 2010,,,,,,,,,,,,
FDID,,FD Name,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Total
15506,PULASKI FIRE DEPARTMENT,PULASKI FIRE DEPARTMENT,PULASKI FIRE DEPARTMENT,,,,,,,,,,
Count,14,42,50,32,32,32,23,37,22,30,33,50,397
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,0,2,2,1,1,0,1,1,1,9
15507,SNOWVILLE FIRE DEPT.,SNOWVILLE FIRE DEPT.,,,,,,,,,,,
Count,4,2,4,1,7,6,9,5,3,0,1,0,42
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,2,0,1,1,2,1,1,0,0,1,0,0,9
,TWIN COMMUNITY VOL. FIRE,TWIN COMMUNITY VOL. FIRE,TWIN COMMUNITY VOL. FIRE,,,,,,,,,,
15508,,,,,,,,,,,,,
,DEPT.,,,,,,,,,,,,
Count,7,2,4,8,4,3,5,8,8,3,7,6,65
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,0,0,0,1,1,0,0,0,1,0,1,0,4
15701,Washington Vol. Fire Dept.,Washington Vol. Fire Dept.,Washington Vol. Fire Dept.,,,,,,,,,,
Count,24,35,28,17,23,18,24,20,16,29,21,20,275
Exposures,0,0,0,0,0,0,0,0,0,0,0,0,0
No Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid Given,23,30,36,34,20,25,33,28,28,27,24,30,338
Page 87 of 124,Page 87 of 124,,,,,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,NFIRS 5.0 National Reporting System,,,,Fri Mar 11 10:12:48 EST 2011,Fri Mar 11 10:12:48 EST 2011
